Date,Ordered Product Sales,Units Ordered,Total Order Items,Page Views - Total,Sessions - Total,Featured Offer (Buy Box) Percentage,Unit Session Percentage,Average Offer Count,Average Parent Items
29/10/2023,"AED 2,248.92",20,20,"6,305","4,201",4.98%,0.48%,611,574
30/10/2023,"AED 2,043.06",24,23,"6,031","3,966",5.39%,0.61%,597,560
31/10/2023,"AED 1,139.25",13,11,"6,112","4,062",4.27%,0.32%,590,553
01/11/2023,"AED 2,599.51",24,22,"6,961","4,686",4.42%,0.51%,647,598
02/11/2023,"AED 4,101.01",44,42,"6,392","4,301",7.07%,1.02%,621,582
03/11/2023,"AED 3,989.89",40,39,"6,380","4,373",5.15%,0.91%,603,565
04/11/2023,"AED 1,999.10",31,24,"6,972","4,680",5.27%,0.66%,650,601
05/11/2023,"AED 4,097.47",38,36,"7,968","5,352",4.45%,0.71%,630,582
06/11/2023,"AED 3,155.01",30,28,"8,064","5,487",4.89%,0.55%,670,609
07/11/2023,"AED 3,111.34",32,29,"8,276","4,613",6.83%,0.69%,689,636
08/11/2023,"AED 3,346.84",32,30,"9,886","5,622",5.92%,0.57%,692,641
09/11/2023,"AED 4,446.93",44,37,"8,133","5,162",6.63%,0.85%,680,636
10/11/2023,"AED 3,067.94",33,26,"7,532","5,015",5.17%,0.66%,668,625
11/11/2023,"AED 2,896.82",30,27,"10,190","6,617",3.68%,0.45%,660,617
12/11/2023,"AED 2,265.09",25,23,"9,201","6,004",2.86%,0.42%,650,607
13/11/2023,"AED 1,566.75",18,18,"6,164","4,123",4.94%,0.44%,645,603
14/11/2023,"AED 1,772.91",22,22,"5,911","3,947",4.57%,0.56%,684,637
15/11/2023,"AED 1,949.91",20,19,"5,319","3,588",5.31%,0.56%,672,630
16/11/2023,"AED 2,542.40",31,27,"5,358","3,550",5.79%,0.87%,657,617
17/11/2023,"AED 1,774.10",22,18,"5,279","3,508",5.63%,0.63%,660,618
18/11/2023,"AED 1,729.38",20,18,"5,543","3,670",4.66%,0.54%,680,633
19/11/2023,"AED 1,809.80",16,16,"5,939","4,031",4.86%,0.40%,676,629
20/11/2023,"AED 3,005.34",29,28,"8,840","5,832",3.24%,0.50%,699,643
21/11/2023,"AED 2,601.48",27,24,"8,079","5,401",4.52%,0.50%,669,628
22/11/2023,"AED 2,861.22",28,24,"7,861","5,301",3.80%,0.53%,696,639
23/11/2023,"AED 2,534.14",28,27,"6,680","4,591",4.57%,0.61%,662,620
24/11/2023,"AED 1,252.03",15,14,"7,505","4,986",3.25%,0.30%,650,608
25/11/2023,"AED 2,694.63",28,25,"7,515","4,968",3.34%,0.56%,644,602
26/11/2023,"AED 1,775.02",24,17,"8,194","5,238",2.61%,0.46%,641,599
27/11/2023,"AED 1,779.67",22,21,"6,879","4,537",3.31%,0.48%,634,595
28/11/2023,"AED 2,010.94",20,19,"6,958","4,611",2.64%,0.43%,650,612
29/11/2023,"AED 1,850.69",24,24,"5,939","3,866",4.70%,0.62%,649,612
30/11/2023,AED 859.12,11,11,"5,266","3,441",3.93%,0.32%,646,611
01/12/2023,"AED 1,043.69",12,12,"4,943","3,246",4.54%,0.37%,636,601
02/12/2023,"AED 1,524.87",17,13,"4,682","3,056",3.69%,0.56%,628,593
03/12/2023,AED 972.75,11,11,"4,739","3,172",3.84%,0.35%,625,590
04/12/2023,"AED 2,766.26",27,22,"5,639","3,758",4.92%,0.72%,633,597
05/12/2023,"AED 1,879.56",16,15,"5,401","3,554",4.75%,0.45%,669,634
06/12/2023,"AED 2,771.62",25,22,"5,424","3,620",4.76%,0.69%,681,646
07/12/2023,"AED 3,016.75",28,25,"5,220","3,443",5.94%,0.81%,676,643
08/12/2023,"AED 2,989.88",28,26,"5,016","3,317",7.52%,0.84%,695,663
09/12/2023,"AED 1,296.79",16,14,"4,901","3,243",6.24%,0.49%,697,664
10/12/2023,"AED 1,292.22",16,12,"5,013","3,317",5.32%,0.48%,693,662
11/12/2023,"AED 2,665.77",26,25,"4,885","3,305",5.84%,0.79%,689,657
12/12/2023,"AED 1,810.70",18,17,"5,034","3,351",4.81%,0.54%,674,641
13/12/2023,"AED 2,080.88",22,19,"4,944","3,254",5.27%,0.68%,665,633
14/12/2023,"AED 1,748.90",21,19,"4,353","2,969",4.26%,0.71%,655,624
15/12/2023,"AED 1,195.53",11,11,"4,254","2,841",4.69%,0.39%,646,615
16/12/2023,AED 714.00,8,7,"4,026","2,715",3.47%,0.29%,643,611
17/12/2023,AED 733.40,7,7,"4,511","2,992",3.51%,0.23%,638,606
18/12/2023,"AED 1,422.64",12,12,"4,434","3,006",3.67%,0.40%,633,602
19/12/2023,"AED 1,562.55",15,15,"4,280","2,883",2.83%,0.52%,623,592
20/12/2023,AED 623.14,9,9,"4,093","2,756",3.02%,0.33%,616,585
21/12/2023,AED 572.00,7,6,"4,140","2,736",3.20%,0.26%,614,583
22/12/2023,AED 450.00,6,5,"3,858","2,617",3.73%,0.23%,629,598
23/12/2023,AED 657.83,8,7,"4,080","2,744",4.69%,0.29%,631,600
24/12/2023,AED 955.10,13,10,"4,107","2,792",4.98%,0.47%,624,593
25/12/2023,"AED 1,398.23",17,14,"4,429","2,911",4.19%,0.58%,615,585
26/12/2023,"AED 2,597.54",14,12,"4,698","3,174",3.47%,0.44%,620,590
27/12/2023,"AED 2,175.01",21,18,"5,028","3,379",3.19%,0.62%,626,596
28/12/2023,"AED 2,028.04",16,15,"5,449","3,366",3.84%,0.48%,618,588
29/12/2023,"AED 2,180.15",11,10,"4,370","2,950",3.23%,0.37%,624,593
30/12/2023,AED 906.20,10,9,"4,238","2,876",3.83%,0.35%,618,587
31/12/2023,"AED 1,229.60",8,8,"3,751","2,495",3.70%,0.32%,611,580
01/01/2024,"AED 1,592.59",14,12,"4,479","2,959",2.52%,0.47%,602,571
02/01/2024,AED 665.00,8,8,"5,356","3,610",3.45%,0.22%,596,565
03/01/2024,AED 876.00,10,9,"4,844","3,265",2.92%,0.31%,588,557
04/01/2024,"AED 1,092.77",12,8,"5,176","3,474",2.30%,0.35%,584,553
05/01/2024,"AED 1,135.70",12,11,"5,009","3,357",2.60%,0.36%,579,548
06/01/2024,AED 713.65,10,7,"5,205","3,438",2.50%,0.29%,587,556
07/01/2024,AED 840.79,12,9,"5,498","3,680",2.96%,0.33%,582,552
08/01/2024,AED 892.31,10,10,"5,807","3,941",3.31%,0.25%,576,546
09/01/2024,"AED 1,619.72",16,13,"5,693","3,747",2.82%,0.43%,568,540
10/01/2024,"AED 1,474.39",16,14,"5,386","3,550",3.44%,0.45%,563,535
11/01/2024,"AED 1,156.68",11,11,"4,884","3,276",3.69%,0.34%,556,528
12/01/2024,"AED 1,260.05",17,17,"4,780","3,256",3.93%,0.52%,546,518
13/01/2024,AED 863.72,9,9,"4,819","3,146",3.35%,0.29%,542,514
14/01/2024,AED 862.04,11,11,"5,080","3,430",3.18%,0.32%,537,509
15/01/2024,"AED 1,244.38",14,12,"5,116","3,466",3.97%,0.40%,547,517
16/01/2024,"AED 1,848.68",25,24,"5,157","3,472",5.56%,0.72%,529,502
17/01/2024,"AED 1,652.05",16,16,"5,023","3,367",3.93%,0.48%,530,503
18/01/2024,"AED 1,657.55",16,15,"4,996","3,301",3.42%,0.48%,533,506
19/01/2024,"AED 1,747.36",18,16,"4,439","2,990",4.43%,0.60%,541,513
20/01/2024,"AED 1,941.51",16,16,"4,875","3,155",5.87%,0.51%,532,504
21/01/2024,"AED 2,385.89",21,20,"5,041","3,349",4.12%,0.63%,525,498
22/01/2024,"AED 1,252.18",15,13,"4,878","3,268",4.80%,0.46%,577,549
23/01/2024,"AED 2,094.32",24,23,"4,819","3,299",6.07%,0.73%,609,579
24/01/2024,"AED 1,137.48",12,12,"5,127","3,392",6.90%,0.35%,637,607
25/01/2024,"AED 1,341.56",16,15,"4,980","3,291",5.05%,0.49%,628,598
26/01/2024,"AED 2,373.63",21,18,"4,870","3,234",4.13%,0.65%,628,598
27/01/2024,"AED 1,838.36",22,20,"5,211","3,395",4.45%,0.65%,634,604
28/01/2024,"AED 1,772.18",18,18,"5,856","3,856",3.24%,0.47%,646,616
29/01/2024,AED 983.12,8,8,"5,407","3,617",4.17%,0.22%,703,667
30/01/2024,"AED 2,034.14",16,15,"5,610","3,706",5.05%,0.43%,703,671
31/01/2024,"AED 2,235.66",28,22,"5,520","3,647",5.14%,0.77%,712,681
01/02/2024,"AED 1,585.00",14,14,"5,180","3,474",4.65%,0.40%,709,678
02/02/2024,"AED 2,406.54",22,20,"5,023","3,403",4.39%,0.65%,724,692
03/02/2024,"AED 2,434.49",24,24,"5,266","3,517",7.28%,0.68%,742,710
04/02/2024,"AED 1,943.90",23,20,"5,500","3,675",5.12%,0.63%,771,739
05/02/2024,"AED 2,644.23",24,21,"5,657","3,748",5.22%,0.64%,864,829
06/02/2024,"AED 2,806.49",27,23,"5,881","3,912",6.44%,0.69%,940,897
07/02/2024,"AED 3,633.53",31,30,"5,885","3,970",7.30%,0.78%,"1,048",999
08/02/2024,"AED 2,685.00",28,21,"5,677","3,890",6.92%,0.72%,"1,111","1,062"
09/02/2024,"AED 2,475.09",28,23,"5,382","3,765",6.85%,0.74%,"1,184","1,122"
10/02/2024,"AED 1,309.55",17,16,"5,791","3,877",6.98%,0.44%,"1,209","1,147"
11/02/2024,"AED 2,773.57",25,25,"6,197","4,168",6.83%,0.60%,"1,210","1,149"
12/02/2024,"AED 2,384.39",26,24,"6,461","4,323",6.50%,0.60%,"1,303","1,232"
13/02/2024,"AED 1,255.72",14,13,"6,363","4,361",7.50%,0.32%,"1,380","1,298"
14/02/2024,"AED 2,042.89",21,19,"5,901","3,960",7.16%,0.53%,"1,449","1,361"
15/02/2024,"AED 2,394.64",25,23,"5,925","4,005",7.48%,0.62%,"1,476","1,373"
16/02/2024,"AED 2,015.39",20,19,"5,653","3,856",5.87%,0.52%,"1,466","1,367"
17/02/2024,"AED 1,772.49",22,17,"5,870","3,964",5.52%,0.55%,"1,496","1,396"
18/02/2024,"AED 2,272.76",24,23,"6,564","4,428",5.36%,0.54%,"1,521","1,422"
19/02/2024,"AED 2,522.00",29,24,"6,755","4,674",5.09%,0.62%,"1,564","1,455"
20/02/2024,"AED 1,780.65",18,18,"6,874","4,633",7.21%,0.39%,"1,574","1,465"
21/02/2024,"AED 1,867.60",18,18,"6,634","4,390",5.78%,0.41%,"1,671","1,561"
22/02/2024,"AED 2,663.88",26,23,"6,517","4,346",5.24%,0.60%,"1,701","1,591"
23/02/2024,"AED 2,872.50",24,20,"6,208","4,262",6.65%,0.56%,"1,735","1,614"
24/02/2024,"AED 3,209.32",32,28,"7,014","4,667",7.60%,0.69%,"1,758","1,630"
25/02/2024,"AED 3,026.35",25,24,"7,177","4,738",6.48%,0.53%,"1,771","1,647"
26/02/2024,"AED 3,130.66",30,28,"7,083","4,847",5.76%,0.62%,"1,777","1,648"
27/02/2024,"AED 2,697.82",25,24,"10,996","7,131",3.94%,0.35%,"1,765","1,640"
28/02/2024,"AED 2,340.17",22,22,"9,517","6,394",3.46%,0.34%,"1,886","1,734"
29/02/2024,"AED 2,343.00",25,21,"8,695","5,925",3.29%,0.42%,"1,910","1,754"
01/03/2024,"AED 1,886.49",18,18,"8,738","5,921",3.77%,0.30%,"1,973","1,812"
02/03/2024,"AED 2,679.10",31,24,"9,225","6,211",3.74%,0.50%,"1,974","1,806"
03/03/2024,"AED 2,456.80",27,23,"9,644","6,558",3.75%,0.41%,"1,973","1,806"
04/03/2024,"AED 2,123.65",20,15,"10,100","6,803",3.92%,0.29%,"2,053","1,876"
05/03/2024,"AED 2,225.69",20,18,"9,382","6,452",3.97%,0.31%,"2,069","1,894"
06/03/2024,"AED 1,422.80",23,20,"9,613","6,458",3.62%,0.36%,"2,115","1,924"
07/03/2024,"AED 2,226.64",28,24,"9,560","6,458",3.81%,0.43%,"2,159","1,964"
08/03/2024,"AED 2,718.00",33,16,"9,101","6,411",3.52%,0.51%,"2,250","2,042"
09/03/2024,"AED 2,865.21",28,26,"8,289","5,520",5.01%,0.51%,"2,261","2,053"
10/03/2024,"AED 3,731.42",32,29,"7,731","5,307",5.49%,0.60%,"2,262","2,058"
11/03/2024,"AED 3,087.45",28,24,"7,338","4,992",4.69%,0.56%,"2,270","2,064"
12/03/2024,"AED 1,111.60",12,12,"7,407","5,083",4.45%,0.24%,"2,310","2,093"
13/03/2024,"AED 2,534.27",23,18,"7,331","4,966",4.01%,0.46%,"2,333","2,112"
14/03/2024,"AED 1,639.82",21,19,"7,767","5,211",3.49%,0.40%,"2,384","2,153"
15/03/2024,"AED 1,659.68",18,18,"7,511","4,970",4.05%,0.36%,"2,386","2,157"
16/03/2024,"AED 2,150.22",21,19,"7,541","4,894",4.60%,0.43%,"2,380","2,153"
17/03/2024,"AED 1,827.90",24,21,"8,345","5,453",4.75%,0.44%,"2,413","2,187"
18/03/2024,"AED 2,061.65",22,18,"7,952","5,362",4.51%,0.41%,"2,408","2,183"
19/03/2024,"AED 3,145.16",31,24,"8,031","5,402",4.70%,0.57%,"2,422","2,189"
20/03/2024,"AED 1,676.89",25,17,"8,055","5,333",4.12%,0.47%,"2,455","2,220"
21/03/2024,"AED 2,225.21",23,21,"7,515","5,012",4.36%,0.46%,"2,467","2,230"
22/03/2024,AED 855.00,10,9,"7,489","4,983",3.75%,0.20%,"2,473","2,236"
23/03/2024,"AED 2,168.96",16,13,"7,754","5,277",3.49%,0.30%,"2,467","2,234"
24/03/2024,"AED 1,216.33",11,10,"8,481","5,605",2.95%,0.20%,"2,472","2,239"
25/03/2024,"AED 1,829.51",22,16,"8,385","5,762",2.69%,0.38%,"2,508","2,274"
26/03/2024,"AED 2,352.93",20,16,"9,241","6,217",2.93%,0.32%,"2,526","2,280"
27/03/2024,"AED 1,631.96",13,13,"9,237","6,354",3.94%,0.20%,"2,543","2,290"
28/03/2024,"AED 1,193.00",11,11,"14,408","9,608",2.52%,0.11%,"2,569","2,310"
29/03/2024,"AED 3,255.71",27,26,"13,642","9,365",2.57%,0.29%,"2,572","2,311"
30/03/2024,"AED 2,514.80",25,22,"14,621","9,509",2.00%,0.26%,"2,628","2,366"
31/03/2024,"AED 1,238.00",13,13,"13,968","9,401",2.18%,0.14%,"2,656","2,393"
01/04/2024,"AED 1,480.52",14,12,"13,396","9,108",1.95%,0.15%,"2,669","2,408"
02/04/2024,"AED 2,606.12",20,20,"13,120","8,865",2.69%,0.23%,"2,715","2,445"
03/04/2024,"AED 3,058.18",31,21,"13,174","8,772",2.27%,0.35%,"2,735","2,464"
04/04/2024,"AED 1,229.44",13,12,"12,402","8,331",1.92%,0.16%,"2,746","2,470"
05/04/2024,"AED 1,514.16",25,15,"11,534","7,737",2.51%,0.32%,"2,744","2,470"
06/04/2024,"AED 1,681.20",14,12,"11,568","7,592",2.22%,0.18%,"2,765","2,489"
07/04/2024,AED 700.00,9,8,"10,320","6,709",2.13%,0.13%,"2,765","2,492"
08/04/2024,AED 639.16,6,5,"9,683","6,478",2.37%,0.09%,"2,783","2,502"
09/04/2024,"AED 1,606.43",20,15,"8,411","5,766",3.30%,0.35%,"2,789","2,501"
10/04/2024,AED 936.20,9,7,"6,709","4,552",2.77%,0.20%,"2,789","2,502"
11/04/2024,AED 970.00,10,9,"8,424","5,623",3.57%,0.18%,"2,792","2,509"
12/04/2024,"AED 2,207.21",20,18,"9,421","6,187",4.09%,0.32%,"2,813","2,518"
13/04/2024,"AED 1,728.22",19,18,"10,539","6,853",4.09%,0.28%,"2,822","2,526"
14/04/2024,"AED 3,961.76",38,34,"10,630","7,147",4.50%,0.53%,"2,824","2,532"
15/04/2024,"AED 2,851.71",33,31,"10,581","6,904",3.82%,0.48%,"2,823","2,530"
16/04/2024,"AED 2,186.30",26,21,"8,567","5,722",4.85%,0.45%,"2,816","2,525"
17/04/2024,"AED 1,391.93",19,16,"8,287","5,591",4.82%,0.34%,"2,817","2,528"
18/04/2024,"AED 2,348.92",30,29,"8,608","5,920",4.53%,0.51%,"2,865","2,567"
19/04/2024,"AED 2,541.00",32,27,"9,266","6,163",4.13%,0.52%,"2,893","2,593"
20/04/2024,"AED 2,035.85",28,21,"10,220","6,804",4.49%,0.41%,"2,930","2,637"
21/04/2024,"AED 1,324.90",20,16,"10,337","6,995",4.23%,0.29%,"2,960","2,657"
22/04/2024,"AED 2,025.00",27,24,"10,346","7,085",4.42%,0.38%,"2,963","2,659"
23/04/2024,"AED 3,458.00",43,30,"10,392","7,067",4.40%,0.61%,"2,991","2,669"
24/04/2024,"AED 3,499.38",31,25,"11,183","7,556",5.05%,0.41%,"2,999","2,678"
25/04/2024,"AED 3,427.05",36,31,"11,599","7,697",5.14%,0.47%,"3,016","2,698"
26/04/2024,"AED 3,217.66",42,32,"10,600","7,153",5.01%,0.59%,"3,068","2,741"
27/04/2024,"AED 4,032.52",47,33,"11,796","7,795",4.44%,0.60%,"3,085","2,755"
28/04/2024,"AED 4,598.94",51,41,"12,808","8,696",4.72%,0.59%,"3,129","2,798"
29/04/2024,"AED 5,489.63",61,43,"12,596","8,452",5.95%,0.72%,"3,126","2,801"
30/04/2024,"AED 3,904.60",44,41,"12,797","8,553",5.37%,0.51%,"3,119","2,796"
01/05/2024,"AED 3,046.68",44,38,"11,701","7,742",5.96%,0.57%,"3,113","2,790"
02/05/2024,"AED 5,112.20",50,43,"11,746","7,783",5.27%,0.64%,"3,104","2,782"
03/05/2024,"AED 4,746.40",49,35,"11,409","7,596",4.90%,0.65%,"3,248","2,897"
04/05/2024,"AED 3,127.00",25,23,"12,302","8,284",5.15%,0.30%,"3,275","2,919"
05/05/2024,"AED 4,204.67",43,37,"14,034","9,282",4.47%,0.46%,"3,335","2,977"
06/05/2024,"AED 2,990.40",34,28,"13,155","8,934",5.52%,0.38%,"3,398","3,030"
07/05/2024,"AED 2,988.75",37,29,"13,023","8,642",4.78%,0.43%,"3,406","3,040"
08/05/2024,"AED 3,184.50",43,37,"11,954","8,142",5.24%,0.53%,"3,407","3,036"
09/05/2024,"AED 2,925.00",32,27,"11,977","7,964",4.76%,0.40%,"3,403","3,030"
10/05/2024,"AED 2,176.09",28,24,"11,644","7,767",4.73%,0.36%,"3,405","3,032"
11/05/2024,"AED 2,897.00",27,26,"12,114","7,953",4.52%,0.34%,"3,401","3,029"
12/05/2024,"AED 3,726.20",37,30,"13,284","8,685",4.01%,0.43%,"3,418","3,052"
13/05/2024,"AED 3,251.65",40,31,"12,595","8,419",4.54%,0.48%,"3,446","3,079"
14/05/2024,"AED 3,860.18",41,32,"12,435","8,532",4.16%,0.48%,"3,471","3,096"
15/05/2024,"AED 3,869.82",35,25,"12,973","8,694",4.46%,0.40%,"3,506","3,128"
16/05/2024,"AED 3,605.00",27,20,"12,542","8,407",4.21%,0.32%,"3,527","3,148"
17/05/2024,"AED 2,196.38",22,18,"11,674","7,930",3.35%,0.28%,"3,532","3,154"
18/05/2024,"AED 2,976.18",29,26,"13,544","9,016",3.57%,0.32%,"3,543","3,168"
19/05/2024,"AED 2,790.63",36,26,"14,770","9,834",3.66%,0.37%,"3,598","3,221"
20/05/2024,"AED 4,223.28",50,43,"14,857","10,095",4.63%,0.50%,"3,726","3,331"
21/05/2024,"AED 2,636.33",27,25,"14,807","9,842",4.47%,0.27%,"3,724","3,330"
22/05/2024,"AED 5,098.37",52,45,"14,495","9,800",4.56%,0.53%,"3,724","3,329"
23/05/2024,"AED 3,925.10",41,37,"14,626","9,892",3.89%,0.41%,"3,779","3,386"
24/05/2024,"AED 3,390.97",37,30,"13,515","9,124",3.22%,0.41%,"3,834","3,430"
25/05/2024,"AED 2,949.69",34,31,"14,853","9,912",4.39%,0.34%,"3,840","3,428"
26/05/2024,"AED 5,227.34",56,42,"16,695","11,110",3.67%,0.50%,"3,916","3,512"
27/05/2024,"AED 2,602.94",30,29,"16,233","10,914",3.21%,0.27%,"3,902","3,506"
28/05/2024,"AED 4,125.23",46,39,"16,195","10,759",3.67%,0.43%,"3,922","3,516"
29/05/2024,"AED 5,279.42",71,52,"15,118","10,113",4.10%,0.70%,"3,916","3,517"
30/05/2024,"AED 4,517.20",45,43,"15,353","10,362",4.40%,0.43%,"3,975","3,562"
31/05/2024,"AED 5,354.00",40,35,"14,610","9,702",3.97%,0.41%,"3,982","3,575"
01/06/2024,"AED 3,577.88",41,34,"15,333","10,001",3.72%,0.41%,"3,974","3,570"
02/06/2024,"AED 3,356.40",55,27,"16,778","11,027",3.48%,0.50%,"4,004","3,602"
03/06/2024,"AED 3,570.85",33,30,"16,796","11,037",3.40%,0.30%,"4,001","3,597"
04/06/2024,"AED 3,798.12",33,27,"15,200","10,096",3.79%,0.33%,"4,005","3,600"
05/06/2024,"AED 2,740.66",30,28,"16,137","10,648",3.78%,0.28%,"4,062","3,638"
06/06/2024,"AED 3,791.09",43,31,"14,525","9,628",4.65%,0.45%,"4,056","3,634"
07/06/2024,"AED 1,396.20",23,18,"14,557","9,510",3.98%,0.24%,"4,091","3,668"
08/06/2024,"AED 2,433.68",24,21,"15,083","9,948",3.33%,0.24%,"4,101","3,681"
09/06/2024,"AED 4,012.95",42,35,"15,489","10,371",4.38%,0.40%,"4,101","3,684"
10/06/2024,"AED 3,732.46",37,35,"15,299","10,243",5.06%,0.36%,"4,109","3,683"
11/06/2024,"AED 5,050.69",52,43,"14,726","9,950",4.94%,0.52%,"4,104","3,682"
12/06/2024,"AED 3,160.00",31,22,"14,223","9,457",4.96%,0.33%,"4,126","3,688"
13/06/2024,"AED 5,097.59",49,45,"13,333","9,069",6.23%,0.54%,"4,121","3,681"
14/06/2024,"AED 4,802.10",38,33,"12,456","8,409",5.45%,0.45%,"4,180","3,732"
15/06/2024,"AED 2,368.00",28,28,"12,179","8,232",5.65%,0.34%,"4,184","3,737"
16/06/2024,"AED 2,568.44",23,19,"10,732","7,245",4.37%,0.32%,"4,182","3,737"
17/06/2024,"AED 2,730.00",24,23,"12,883","8,607",4.67%,0.28%,"4,181","3,737"
18/06/2024,"AED 5,182.70",49,42,"14,881","10,075",4.21%,0.49%,"4,257","3,808"
19/06/2024,"AED 2,987.40",28,25,"15,452","10,258",3.86%,0.27%,"4,312","3,856"
20/06/2024,"AED 4,224.89",43,38,"15,455","10,412",5.14%,0.41%,"4,394","3,935"
21/06/2024,"AED 3,760.68",35,34,"14,384","9,687",6.03%,0.36%,"4,466","4,005"
22/06/2024,"AED 5,320.67",50,43,"15,272","10,238",5.10%,0.49%,"4,543","4,078"
23/06/2024,"AED 5,568.05",53,46,"16,396","11,020",4.53%,0.48%,"4,553","4,090"
24/06/2024,"AED 2,090.68",25,24,"15,969","10,883",4.25%,0.23%,"4,590","4,123"
25/06/2024,"AED 6,789.36",52,47,"16,556","11,153",4.83%,0.47%,"4,600","4,132"
26/06/2024,"AED 4,152.06",47,36,"15,661","10,630",4.78%,0.44%,"4,628","4,159"
27/06/2024,"AED 3,855.93",46,43,"15,553","10,532",5.88%,0.44%,"4,711","4,240"
28/06/2024,"AED 6,150.79",68,61,"15,336","10,420",7.06%,0.65%,"4,709","4,239"
29/06/2024,"AED 8,344.89",85,72,"16,845","11,147",5.89%,0.76%,"4,761","4,291"
30/06/2024,"AED 8,076.30",73,61,"17,607","11,684",6.94%,0.62%,"4,814","4,350"
01/07/2024,"AED 8,436.88",81,72,"17,820","11,720",7.14%,0.69%,"4,807","4,344"
02/07/2024,"AED 4,555.39",47,42,"18,653","12,496",6.91%,0.38%,"4,810","4,347"
03/07/2024,"AED 6,216.99",52,47,"17,812","12,016",7.23%,0.43%,"4,804","4,345"
04/07/2024,"AED 4,709.99",47,41,"17,828","11,962",6.23%,0.39%,"4,802","4,345"
05/07/2024,"AED 5,379.09",50,44,"17,874","12,047",6.72%,0.42%,"4,831","4,369"
06/07/2024,"AED 9,124.19",71,63,"20,145","12,909",6.04%,0.55%,"4,828","4,365"
07/07/2024,"AED 5,934.64",64,54,"20,876","13,903",6.02%,0.46%,"4,839","4,382"
08/07/2024,"AED 4,411.35",44,39,"17,466","11,571",6.38%,0.38%,"4,841","4,377"
09/07/2024,"AED 3,685.35",40,35,"17,899","11,822",6.27%,0.34%,"4,861","4,381"
10/07/2024,"AED 4,790.90",48,37,"17,002","11,623",6.89%,0.41%,"4,847","4,367"
11/07/2024,"AED 3,557.15",41,38,"16,732","11,060",6.49%,0.37%,"4,842","4,362"
12/07/2024,"AED 2,386.95",19,18,"5,359","3,508",10.01%,0.54%,377,357
13/07/2024,"AED 3,489.28",26,26,"16,240","10,789",4.17%,0.24%,"4,854","4,367"
14/07/2024,"AED 3,516.00",23,20,"17,036","11,359",5.23%,0.20%,"4,909","4,425"
15/07/2024,"AED 4,273.34",37,33,"17,244","11,528",5.36%,0.32%,"4,940","4,452"
16/07/2024,"AED 5,167.43",55,44,"32,421","21,043",3.42%,0.26%,"4,947","4,466"
17/07/2024,"AED 3,497.45",27,27,"28,030","18,384",3.04%,0.15%,"4,967","4,486"
18/07/2024,"AED 3,983.15",39,36,"25,190","16,586",3.73%,0.24%,"5,024","4,530"
19/07/2024,"AED 1,643.96",20,20,"21,812","14,424",3.24%,0.14%,"5,088","4,582"
20/07/2024,"AED 3,817.12",43,30,"23,455","15,330",3.60%,0.28%,"5,117","4,611"
21/07/2024,"AED 3,996.99",38,34,"25,971","16,730",3.52%,0.23%,"5,108","4,609"
22/07/2024,"AED 4,273.59",34,32,"17,530","11,680",4.20%,0.29%,"5,135","4,622"
23/07/2024,"AED 2,650.84",25,23,"17,009","11,347",4.84%,0.22%,"5,150","4,629"
24/07/2024,"AED 3,437.83",29,28,"15,597","10,624",5.15%,0.27%,"5,152","4,627"
25/07/2024,"AED 2,340.74",22,20,"16,198","10,959",4.52%,0.20%,"5,146","4,659"
26/07/2024,"AED 1,690.51",17,16,"15,682","10,477",4.36%,0.16%,"5,156","4,662"
27/07/2024,"AED 2,939.98",31,29,"16,523","11,038",3.79%,0.28%,"5,154","4,664"
28/07/2024,"AED 3,510.75",33,30,"18,519","11,671",3.90%,0.28%,"5,148","4,661"
29/07/2024,"AED 2,899.23",31,27,"16,910","11,158",4.18%,0.28%,"5,145","4,658"
30/07/2024,"AED 5,717.44",46,36,"16,542","11,054",3.80%,0.42%,"5,155","4,665"
31/07/2024,"AED 5,191.48",46,36,"16,551","10,996",4.25%,0.42%,"5,158","4,659"
01/08/2024,"AED 4,140.79",39,38,"16,410","10,864",4.24%,0.36%,"5,164","4,649"
02/08/2024,"AED 2,484.60",27,26,"16,258","10,736",4.23%,0.25%,"5,161","4,646"
03/08/2024,"AED 3,610.00",34,30,"17,477","11,337",3.81%,0.30%,"5,162","4,648"
04/08/2024,"AED 5,085.36",41,35,"17,428","11,383",4.45%,0.36%,"5,159","4,647"
05/08/2024,"AED 5,286.40",55,44,"18,107","11,911",4.78%,0.46%,"5,159","4,648"
06/08/2024,"AED 3,679.75",36,34,"17,873","11,711",4.91%,0.31%,"5,166","4,649"
07/08/2024,"AED 5,229.70",43,36,"16,849","11,308",4.65%,0.38%,"5,195","4,676"
08/08/2024,"AED 5,558.60",50,44,"17,159","11,362",5.53%,0.44%,"5,203","4,678"
09/08/2024,"AED 5,786.39",52,41,"15,224","10,329",5.85%,0.50%,"5,204","4,671"
10/08/2024,"AED 4,164.43",40,39,"16,423","10,988",5.32%,0.36%,"5,201","4,667"
11/08/2024,"AED 5,443.46",53,48,"17,283","11,413",5.06%,0.46%,"5,192","4,664"
12/08/2024,"AED 4,198.96",42,37,"18,224","12,109",5.05%,0.35%,"5,193","4,663"
13/08/2024,"AED 5,568.17",53,49,"16,993","11,246",4.66%,0.47%,"5,220","4,690"
14/08/2024,"AED 5,207.90",50,42,"16,844","11,091",5.00%,0.45%,"5,244","4,715"
